month,year,SNA_NAME,total_days_in_month,non_instructional_days_in_month,summer_weekdays_in_month,instructional_days_in_month,Avg_monthly_Per_Person,Avg_monthly_Per_hh,total_population_true_total,total_households,children_under_age18,children_5to14,children_15to17,hamilton_meal_cost,hh_snap_percent,meal_percent_income_covered,hh_size,free_reduced_estimate_f,month_meals,month_meal_dollars,snap_dollars,meal_percent_snap_covered,cps_meals,meal_percent_cps_covered,pre_charity_coverage
1,2023,Downtown,31,12,0,19,271.63,529.8,5501.109548,3389.128053,229.8482605,28.20355292,0,4.2845,0.072973797,0.934914516,1.449603319,1,511603.188,2191963.859,109190.695,0.049814095,696.6277572,0.001361656,0.986090267
1,2023,East End,31,12,0,19,271.63,529.8,1306,681,172,111,38,4.2845,0.114537445,0.955370044,1.9,1,121458,520386.801,34437,0.066175775,3680.3,0.030301009,1.051846828
1,2023,East Price Hill,31,12,0,19,271.63,529.8,15955,6112,5263,2574,882,4.2845,0.296138743,0.73184202,2.599238879,1,1483815,6357405.368,799115,0.125698293,85363.2,0.057529544,0.915069856
1,2023,East Walnut Hills,31,12,0,19,271.63,529.8,3876.895887,2470.430591,361.3496144,200.8348329,39.33868895,4.2845,0.03423318,0.915068833,1.552788732,1,360551.3175,1544782.12,37337.96144,0.024170374,5932.28599,0.016453375,0.955692582
1,2023,East Westwood,31,12,0,19,271.63,529.8,2446.440728,1082.362735,662.7084265,423.8682901,112.1505178,4.2845,0.403008497,0.730271131,2.233280064,1,227518.9877,974805.103,192582.9089,0.197560423,13239.66456,0.058191471,0.986023025
1,2023,English Woods,31,12,0,19,271.63,529.8,494.8152745,231.9093079,114.9365155,56.78949881,23.98281623,4.2845,0.24195122,0.715299412,2.1,1,46017.82053,197163.352,24772.89165,0.125646533,1995.076181,0.043354426,0.884300371
1,2023,Evanston,31,12,0,19,271.63,529.8,8421.154843,3511.949534,1469.161852,755.5963693,308.2870928,4.2845,0.090933908,0.854076328,2.101616559,0.36,783167.4004,3355480.727,140995.3633,0.042019423,9460.051746,0.012079221,0.908174971
1,2023,Hartwell,31,12,0,19,271.63,529.8,5403,2462,852,527,174,4.2845,0.097887896,0.924583721,2.07,1,502479,2152871.276,106401.5,0.049423066,17314.7,0.034458554,1.008465342
1,2023,Hyde Park,31,12,0,19,271.63,529.8,13559,6539,2522,1119,401,4.2845,0.011010858,0.940017258,2.057848168,0.65,1260987,5402698.802,31788,0.005883726,24403.6,0.019352777,0.965253761
1,2023,Kennedy Heights,31,12,0,19,271.63,529.8,4275,2222,492,333,67,4.2845,0.143564356,0.848252783,1.91,1,397575,1703410.088,140838.5,0.082680325,9880,0.024850657,0.955783766
1,2023,Linwood,31,12,0,19,271.63,529.8,697.8846052,329.8035384,124.0844996,69.48006337,11.06601532,4.2845,0.048954895,0.980076407,2.11,1,64903.26829,278078.053,7128.237259,0.025633944,1989.488144,0.030653127,1.036363479
1,2023,Lower Price Hill,31,12,0,19,271.63,529.8,876.9691235,298.6394422,294.0916335,80.34462151,68.21713147,4.2845,0.631979695,0.466354618,2.32,1,81558.12849,349435.8015,83326.08914,0.238458935,3669.475299,0.044992147,0.7498057
